,Category,Slope,r_value,std_err,p_value,Count
0,Cosmetic,0.016,0.103,0.012,0.174,176
1,Material,-0.027,-0.128,0.041,0.508,29
2,transit damaged,-0.014,-0.32,0.011,0.245,15
3,GD&T,0.15,0.121,0.188,0.428,45
4,dimension,0.007,0.051,0.017,0.682,66
5,Not Known,,0.0,,,1
6,Threads,0.123,0.407,0.06,0.054,23
7,Paint,0.016,0.902,0.008,0.285,3
8,Part Mark,0.101,0.347,0.07,0.172,17
9,Silk Screen,0.215,0.735,0.075,0.024,9
10,Burrs,0.232,0.772,0.078,0.025,8
11,Leaking,0.001,0.284,0.003,0.716,4
12,Assembly,0.018,0.898,0.009,0.291,3
13,Subcontractor,,0.0,,,1
14,surface finish,0.018,0.16,0.042,0.682,9
15,Color,0.287,0.5,0.188,0.17,9
16,cracked,-0.026,-0.231,0.039,0.522,10
17,Scratches,0.066,0.439,0.038,0.102,15
18,Cleaning,0.033,0.302,0.036,0.396,10
19,Incorrect Part,,0.0,,,1
