Operation,Description
CLIPA,Clean 0250-09720
CLEP,Clean 0250-29357
CLEST1,Clean 0250-29357 Type I
CLES,Clean 0250-29357 Type II
CLE31176,Clean 0250-31176
CNGCP,Clean 0250-31176 Appendix A&B
CNPT1,Clean 0250-70351 Type I
CNPT2,Clean 0250-70351 Type II
CLNAPXA,Clean 0250-77473 Appendix A
CLNAPXB,Clean 0250-77473 Appendix B
CLEAN13,Clean LAM74-106348-00/ Class 5
CLEANPR2,Clean per LAM 202-032459-001
CLEANWI1,Clean per LAM 202-055007-001
CLEANPR1,Clean per LAM 202-057854-001
CLEANNMS,Clean per LAM 202-064982-001
CLEANVC,Clean per LAM 202-065546-001
CLEANSP,Clean per LAM 202-086403-001
CLEANWI,Clean per LAM 202-087801-001
CLEANSOA,Clean per LAM 202-304126-001
CLEANEFP,Clean per LAM 202-329717-001
CLEANREX,Clean per Rexroth VA-51880-004
CLEAN,Clean Surface
CLEANDI,Clean with DI water
CLEAN_IP,Cleaning Inspection
